source_id,longitude,latitude,uber_loc,address,region,county,locality
1226481151,81.97291,22.00075,Saket,"Saket, CT, India",Chhattisgarh,Bilaspur,Saket
890506931,77.663383,28.974506,Saket,"Saket, Meerut, UP, India",Uttar Pradesh,Meerut,Meerut
85928609,77.20925,28.522021,Saket,"Saket, Delhi, India",Delhi,South West Delhi,Delhi
890511421,77.213072,28.613789,New Colony,"New Delhi, DL, India",Delhi,New Delhi,
1261481,77.22445,28.63576,New Colony,"New Delhi, DL, India",Delhi,South West Delhi,New Delhi
node/6047132416,77.252158,28.548239,New Colony,"New Vishal Corner, Delhi, India",Delhi,South West Delhi,Delhi
890507729,90.568633,26.44876,New Colony,"New Bongaigaon Railway Colony, AS, India",Assam,Bongaigaon,New Bongaigaon Railway Colony
node/7193086022,77.239059,28.575675,New Colony,"New Bharat Music House, Delhi, India",Delhi,South West Delhi,Delhi
890506213,77.215738,28.665888,Tis Hazari,"Tis Hazari, Delhi, India",Delhi,South West Delhi,Delhi
node/561316983,77.216631,28.667163,Tis Hazari,"Tis Hazari, Delhi, India",Delhi,South West Delhi,Delhi
way/464265890,77.216543,28.667181,Tis Hazari,"Tis Hazari Metro Station, Delhi, India",Delhi,South West Delhi,Delhi
way/265817832,77.217471,28.665753,Tis Hazari,"Tis Hazari District Courts, Delhi, India",Delhi,South West Delhi,Delhi
1254317,77.86776,8.33702,Tis Hazari,"Tisaiyanvilai, TN, India",Tamil Nadu,Tirunelveli,Tisaiyanvilai
polyline:29593247,77.031121,28.462243,Sadar Bazar Gurgaon,"Sadar Bazar Main Road, Gurugram, HR, India",Haryana,Gurugram,Gurugram
102031133,77.381182,28.534601,Noida Film City,"Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
102031095,77.510051,28.466676,Noida Film City,"Greater Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
node/6537260850,77.356164,28.574733,Noida Film City,"Noida City Centre, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
polyline:31580734,77.495958,28.452974,Noida Film City,"Noida-Greater Noida Expressway, Greater Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
polyline:31582413,77.398824,28.503459,Noida Film City,"Noida-Greater Noida Expressway, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
polyline:29595017,77.22258,28.631255,Barakhamba Road,"Barakhamba Road, Delhi, India",Delhi,South West Delhi,Delhi
node/7018316587,77.221727,28.686322,Vidhan Sabha,"Vidhan Sabha, Delhi, India",Delhi,South West Delhi,Delhi
way/212876908,80.943913,26.843366,Vidhan Sabha,"Vidhan Sabha, Lucknow, UP, India",Uttar Pradesh,Lucknow,Lucknow
way/757525132,75.797523,26.892376,Vidhan Sabha,"Vidhan Sabha, Jaipur, RJ, India",Rajasthan,Jaipur,Jaipur
way/294547164,77.221784,28.688104,Vidhan Sabha,"Delhi Vidhan Sabha, Delhi, India",Delhi,South West Delhi,Delhi
way/779091475,79.07961,21.15161,Vidhan Sabha,"Vidhan Bhavan, Nagpur, MH, India",Maharashtra,Nagpur,Nagpur
